,district_name,statefips,poverty_rate_all_ages,poverty_rate_0_to_17,median_income,adult_obesity,adolescent_obesity,ds_pm_pred,smoking_rate,asthma_crude_prevalence,region
1,Alabama,1,19.2,27.4,"42,917",33.5,17.1,10.62898373687716,20.2,9.5,South
2,Alaska,2,11.4,15.5,"70,898",29.7,12.4,,17.4,8.1,West
3,Arizona,4,18.2,25.6,"50,036",28.9,10.7,5.687440208213235,14.9,9.6,West
4,Arkansas,5,18.7,26.3,"41,335",35.9,17.8,9.70379641395539,20.2,8.8,South
5,California,6,16.4,22.6,"61,927",24.7,Na,8.628624204833912,10.0,7.8,West
6,Colorado,8,12.1,15.6,"61,324",21.3,Na,5.071340460843517,13.5,8.4,West
7,Connecticut,9,10.8,14.9,"70,007",26.3,12.3,7.768040633694031,12.1,9.2,Northeast
8,Delaware,10,13.0,19.2,"59,853",30.7,14.2,9.300556988116421,15.9,8.8,Northeast
9,District of Columbia,11,18.4,28.9,"69,992",21.7,,9.799117248029388,12.7,11.5,Northeast
10,Florida,12,16.6,24.2,"47,439",26.2,11.6,8.045730068894493,14.8,8.0,South
11,Georgia,13,18.4,26.3,"49,240",30.5,12.7,10.468842717247869,16.3,8.3,South
12,Hawaii,15,11.5,15.2,"69,549",22.1,13.4,,12.3,9.2,West
13,Idaho,16,14.8,19.0,"47,572",28.9,9.6,7.130341750448938,15.3,8.6,West
14,Illinois,17,14.3,20.1,"57,458",29.3,11.5,11.119114108885192,14.5,9.1,Midwest
15,Indiana,18,15.2,21.2,"49,384",32.7,Na,11.465028717503596,19.2,10.7,Midwest
16,Iowa,19,12.3,15.5,"53,816",30.9,Na,8.924561624180116,16.4,8.5,Midwest
17,Kansas,20,13.5,17.6,"52,392",31.3,12.6,8.057725973705347,16.2,8.7,Midwest
18,Kentucky,21,19.0,25.9,"42,914",31.6,18,10.36786795599062,23.6,11.9,South
19,Louisiana,22,19.9,28.0,"44,680",34.9,13.5,9.001729920839864,21.9,7.7,South
20,Maine,23,14.0,19.0,"49,381",28.2,11.6,6.697367213176519,17.6,11.6,Northeast
21,Maryland,24,10.4,13.8,"73,851",29.6,11,9.350340819817527,12.7,8.5,Northeast
22,Massachusetts,25,11.7,15.3,"69,200",23.3,10.2,7.012783863724634,12.0,12.0,Northeast
23,Michigan,26,16.2,22.6,"49,755",30.7,13,8.566400062890278,18.7,10.9,Midwest
24,Minnesota,27,11.4,14.8,"61,473",27.6,Na,6.735550344871468,14.6,8.4,Midwest
25,Mississippi,28,21.9,30.7,"39,738",35.5,15.4,9.60637864101282,20.4,7.4,South
26,Missouri,29,15.5,21.3,"48,288",30.2,14.9,9.585611791487372,19.6,9.7,Midwest
27,Montana,30,15.2,19.2,"46,608",26.4,9.4,5.881673000350659,16.6,9.6,West
28,Nebraska,31,12.3,16.0,"52,803",30.2,12.7,7.08349414536726,14.7,7.7,Midwest
29,Nevada,32,15.4,22.2,"51,487",27.7,11.4,5.902500020019169,15.7,8.1,West
30,New Hampshire,33,9.2,12.6,"66,469",27.4,11.2,6.871664520168531,15.9,10.2,Northeast
31,New Jersey,34,11.1,15.8,"71,968",26.9,8.7,9.403489455301454,,8.3,Northeast
32,New Mexico,35,20.6,28.0,"44,905",28.4,12.6,5.605916167313561,16.0,9.9,West
33,New York,36,16.0,22.9,"58,771",27.0,10.6,8.118428847882145,12.7,10.7,Northeast
34,North Carolina,37,17.2,24.1,"46,596",29.7,12.5,9.33123239888862,18.5,7.8,South
35,North Dakota,38,11.1,13.7,"60,227",32.2,13.5,5.286558563116382,17.0,8.7,Midwest
36,Ohio,39,15.8,22.7,"49,349",32.6,13,11.077160091949516,20.8,10.8,Midwest
37,Oklahoma,40,16.6,22.4,"47,524",33.0,11.8,8.802647697751793,18.9,9.7,South
38,Oregon,41,16.4,21.3,"51,088",27.9,Na,6.896049841805254,14.5,10.2,West
39,Pennsylvania,42,13.6,19.2,"53,224",30.2,Na,10.165572172325314,17.3,9.8,Northeast
40,Rhode Island,44,14.8,21.2,"54,797",27.0,10.7,6.188715729714305,13.3,10.8,Northeast
41,South Carolina,45,17.9,26.4,"45,337",32.1,13.9,9.837134173032535,17.5,8.3,South
42,South Dakota,46,14.1,18.4,"51,059",29.8,11.9,5.769536600668907,18.3,7.5,Midwest
43,Tennessee,47,18.2,25.9,"44,357",31.2,16.9,9.722674535998285,19.9,8.9,South
44,Texas,48,17.2,24.5,"53,067",31.9,15.7,8.423417980038872,14.7,6.7,South
45,Utah,49,11.8,13.4,"60,943",25.7,6.4,5.643303224749434,7.9,8.7,West
46,Vermont,50,12.0,15.4,"54,153",24.8,13.2,6.261859489150796,15.1,11.3,Northeast
47,Virginia,51,11.8,15.9,"64,923",28.5,12,8.744284337417486,14.0,8.6,South
48,Washington,53,13.2,17.5,"61,358",27.3,Na,6.885673629566443,12.6,9.3,West
49,West Virginia,54,18.3,25.0,"41,030",35.7,15.6,9.242829627734123,23.8,11.0,South
50,Wisconsin,55,13.2,18.4,"52,632",31.2,11.6,8.247455639064357,15.4,10.3,Midwest
51,Wyoming,56,11.2,13.7,"58,291",29.5,10.7,4.28228906023143,18.4,8.3,West
